0	-0.505516	-0.0674459	-0.49796
1	-0.71062	-0.0931535	-0.681754
2	-0.774896	-0.108365	-0.742379
3	-0.803882	-0.113977	-0.766426
4	-0.812073	-0.11638	-0.775254
5	-0.814173	-0.114786	-0.77971
6	-0.814173	-0.116386	-0.782148
7	-0.814698	-0.115587	-0.782653
8	-0.815223	-0.116388	-0.783157
9	-0.815223	-0.116388	-0.783157
10	-0.815223	-0.116388	-0.783157
11	-0.815223	-0.116388	-0.783157
12	-0.815223	-0.116388	-0.783157
13	-0.815223	-0.116388	-0.783157
14	-0.815223	-0.116388	-0.783157
15	-0.815223	-0.116388	-0.783157
16	-0.815223	-0.116388	-0.783157
17	-0.815223	-0.116388	-0.783157
18	-0.815223	-0.116388	-0.783157
19	-0.815223	-0.116388	-0.783157
